ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
300511.SZ,雪榕生物,种植业,20260727,4.96,5.9991666666666665,2.769543819298981,-0.2066287808694227,99511.24685,3.9832,3.6973,0.92,317860.1616,270817.5376,4.74,5.0,4.73,17.13319976173834,24.31502773295802,-0.1637398330553124,-0.08577789562822064,16.2404,1.7818,25,20,20,5,0.8148148148148152,10,5,-17.321850256980134,0,85,A
301060.SZ,兰卫医学,医疗保健,20260727,8.49,9.242930877586637,1.7275429399968516,-0.11734005689285532,53891.74904,3.9168,1.7784,0.65,340038.933,305781.2736,8.08,8.51,8.08,20.420700290891595,29.767278966338967,-0.07748197419129008,-0.07971616540313048,238.6631,2.1443,25,20,20,0,0.9534883720930242,10,10,-8.146018698597366,0,85,A
301019.SZ,宁波色母,塑料,20260727,14.240000000000002,16.776995630636947,1.407279285458543,-0.515004879301074,42924.55513,2.446,2.0854,0.58,281889.4864,206688.9008,13.85,14.39,13.69,16.697470610937827,24.34256627367747,-0.31426017993073374,-0.40148939874068046,24.708,2.4724,25,20,20,0,0.5571428571428596,10,10,-15.121870962427057,0,85,A
301509.SZ,金凯生科,化学制药,20260727,27.68,29.81425445240994,3.0911145422368023,-0.4204611979976214,62642.08884,3.438,4.0027,0.66,333396.1888,157058.8112,26.55,27.950000000000003,26.55,20.813378304406065,29.674510185490696,-0.049394609580283876,-0.7421331768346751,45.0335,1.5001,25,20,20,0,0.8071428571428552,10,5,-7.158503513199288,0,80,A
688399.SH,硕世生物,医疗保健,20260727,27.829999999999995,34.87466948696253,-2.568279752982427,-1.4480501662252188,56331.839,5.9383,1.6545,0.81,345454.0683,345454.0683,26.339999999999996,27.98,26.14,13.046633804429803,20.854090583135918,-1.0793437788509825,-0.7374127747484724,,1.172,25,20,20,5,0.8097826086956514,10,0,-20.19996057481233,0,80,A
301585.SZ,蓝宇股份,染料涂料,20260727,24.630000000000003,26.564744444444447,3.665378939781128,-0.3910341145516405,17601.23173,3.0544,1.0547,0.72,256152.0,167752.2207,24.0,24.8,24.0,20.170520503140317,28.42309128481991,-0.2673764439667269,-0.24731534116982723,36.0323,2.5506,25,20,20,0,0.7875000000000025,10,5,-7.283128390301765,0,80,A
688265.SH,南模生物,医疗保健,20260727,33.29,35.74082721712538,3.3075604418204705,-0.36389115402398176,30847.817,3.869,1.1863,0.72,259540.4915,259540.4915,31.4,34.2,31.4,17.616334993235068,24.770722268942365,-0.005003997552818551,-0.7177743129423264,78.4419,1.5153,25,20,20,0,0.6749999999999992,10,5,-6.857220181940988,0,80,A
301277.SZ,新天地,化学制药,20260727,9.82,10.052999383769436,-5.0900439539640985,0.08397775648603023,55113.0701,4.0254,1.4427,0.61,385020.9888,385020.9888,9.35,9.85,9.3,18.405737217567193,30.15362780333284,0.18265527981244487,-0.19735504665282927,38.2052,2.4259,25,20,20,0,0.8545454545454574,10,0,-2.3177101168991685,0,75,B
301173.SZ,毓恬冠佳,汽车配件,20260727,28.3,34.556824754297736,4.935332804873525,-1.3243232648958738,15615.51102,2.3508,1.7963,0.53,248572.484,87245.221,27.52,28.55,27.27,16.685248348492266,22.560206120301636,-1.2929714278199278,-0.06270367415189204,14.5495,1.6051,25,20,20,0,0.6093750000000003,10,0,-18.105901797356516,0,75,B
688575.SH,亚辉龙,医疗保健,20260727,8.8,10.255589804472386,2.490346715088009,-0.22256911809956392,61989.811,3.2864,1.246,0.82,502821.704,502821.704,8.46,8.83,8.41,22.985871944544016,33.23363455927202,-0.235795663924292,0.02645309164945614,161.4542,1.8533,12,20,20,5,0.8095238095238093,10,5,-14.193135960231304,0,72,B
002038.SZ,双鹭药业,生物制药,20260727,5.57,5.934850781696617,3.3418633916248908,-0.08786326490638263,221876.52942,5.293,4.7056,0.87,572233.95,474514.5941,5.27,5.7,5.22,17.052592808108358,23.90795751635009,0.02439808725324768,-0.22452270431926064,,1.1231,12,20,20,5,0.6250000000000009,10,5,-6.147598231480982,0,72,B
603669.SH,灵康药业,化学制药,20260727,5.33,5.103333333333334,-7.981065514585083,0.030043096852449658,336784.346,7.2435,8.9733,1.39,379672.5296,379672.5296,4.9,5.470000000000001,4.9,12.998642570796136,23.488496613486745,0.2704989770870187,-0.4809117604691381,,6.7466,25,0,20,10,0.7543859649122798,10,0,4.441541476159353,5,70,B
301211.SZ,亨迪药业,化学制药,20260727,10.9,10.867347466666667,4.942710386259513,0.0027997909211645577,138374.9759,6.7581,3.09,0.88,455184.0,455178.768,10.140000000000002,10.99,10.13,20.579846248778537,28.39841418003805,0.20743484329526396,-0.4092701047481988,134.6596,1.9942,12,20,20,5,0.8837209302325564,10,0,0.30046461138275454,3,70,B
688247.SH,宣泰医药,化学制药,20260727,8.48,8.603572844108701,3.3836881777582732,0.049576135797410714,30916.849,3.7944,0.8076,0.64,384432.32,384432.32,8.3,8.57,8.17,25.235092042477735,36.16079397483747,0.13440361361624795,-0.16965495563767446,88.2599,2.9379,25,10,20,0,0.4499999999999989,10,5,-1.4362968309533992,0,70,B
300653.SZ,正海生物,医疗保健,20260727,13.82,15.516825674718197,2.731946311121696,-0.35063004654758245,24039.15064,2.0679,0.971,0.79,248760.0,248760.0,13.52,13.890000000000002,13.37,19.210790910772623,27.450213210598086,-0.30283948395507815,-0.09558112518500861,35.2688,2.7511,25,10,20,0,0.5769230769230749,10,5,-10.935391750149392,0,70,B
688298.SH,东方生物,医疗保健,20260727,18.28,20.479833333333332,-1.751862799330972,-0.3505110790805901,23235.841,2.2943,0.6313,0.73,368524.8,368524.8,17.6,18.59,17.6,20.542369540638965,31.689485710623934,-0.26386326576302044,-0.1732956266351393,,0.6253,25,10,20,0,0.6868686868686876,10,5,-10.741461112150965,0,70,B
600814.SH,杭州解百,百货,20260727,6.31,6.7804990208420755,1.1455816363829143,-0.06973550727484401,30149.209,1.2841,0.651,0.89,463834.5966,463834.5966,6.22,6.35,6.18,27.848153382041936,41.19943925487144,-0.09070894440280955,0.04194687425593108,20.3344,1.212,12,10,20,5,0.5294117647058817,10,10,-6.939002857987939,0,67,B
300294.SZ,博雅生物,生物制药,20260727,14.73,15.861158084696823,0.6075298895945309,-0.1807191618088133,77362.00266,2.1498,1.0496,0.69,742758.3351,742758.3351,14.389999999999999,14.8,14.25,29.233487309121813,43.546466018885454,-0.17754880872020154,-0.006340706177223543,2162.2677,0.9954,4,20,20,0,0.6181818181818204,10,10,-7.131623546380185,0,64,C
688050.SH,爱博医疗,医疗保健,20260727,40.0,42.50685686306512,1.3347314872512328,-0.12219967346845095,104726.749,3.3325,1.3585,0.77,773750.8,773750.8,38.57,40.25,38.28,24.573253262881817,36.19251415069711,-0.04168448301174736,-0.16103038091340718,29.2104,2.7018,4,20,20,0,0.7258883248730967,10,10,-5.897535240351692,0,64,C
300133.SZ,华策影视,影视音像,20260727,6.44,7.92608836235993,0.39686303377411036,-0.2512193295836287,304494.45199,2.2222,2.8665,0.62,1207379.3788,1070934.9056,6.26,6.45,6.23,14.543950439515003,21.61749414238545,-0.19552186532694008,-0.11139492851337723,66.9715,1.6392,4,20,20,0,0.8181818181818219,10,10,-18.749328728369843,0,64,C
301206.SZ,三元生物,食品,20260727,22.49,24.079169935212747,1.6183305243625483,-0.2106828757223127,17459.9315,1.0332,0.5965,0.59,455030.4993,292989.8244,22.120000000000005,22.62,22.06,22.847007648922382,33.4613462112023,-0.19168958155725058,-0.03798658833012425,49.1457,1.0669,12,10,20,0,0.6607142857142722,10,10,-6.59977042185656,0,62,C
301333.SZ,诺思格,医疗保健,20260727,48.82,52.14308058957474,-6.282709854296407,-0.18840932472212302,121439.0906,2.4124,2.5773,0.7,471509.6918,470910.2701,47.46999999999999,49.98,47.12,19.180859005118148,31.912643434825423,0.34427199756476085,-1.0653626445737676,35.2791,2.362,12,20,20,0,0.4720279720279751,10,0,-6.373003957574265,0,62,C
300009.SZ,安科生物,生物制药,20260727,8.13,8.15662328512626,3.8475251658533836,0.02605256160508418,147368.182,3.3037,1.4804,0.72,1358279.6691,1000190.9736,7.869999999999999,8.17,7.8500000000000005,24.703669283701853,35.131741342626086,0.06653791722112201,-0.08097071123207567,19.578,2.8635,4,20,20,0,0.8125000000000064,10,5,-0.3264008180297764,0,59,C
603043.SH,广州酒家,食品,20260727,13.140000000000002,13.749979880386137,1.922198506969977,-0.10086860558533672,39274.502,1.9395,0.5325,0.8,745389.3636,739062.4536,12.99,13.21,12.88,25.156004014947733,36.77290676893661,-0.10067840124603696,-0.0003804086785995364,15.2206,1.8672,4,10,20,5,0.4545454545454609,10,10,-4.4362238031798835,0,59,C
688692.SH,达梦数据,软件服务,20260727,208.31,252.7180405489154,4.328100861777543,-10.662588533403465,278386.812,1.3625,1.8067,0.94,2358902.44,1544924.8657,204.0,211.26999999999998,202.40000000000003,15.729944579296605,21.430866438056135,-9.239332377985104,-2.8465123108367223,41.3935,6.0702,4,20,20,5,0.4859075535512996,10,0,-17.572168750778168,0,59,C
688029.SH,南微医学,医疗保健,20260727,72.45,76.00058174209887,2.348416811955161,0.06358482279703992,153784.384,2.0423,1.125,0.81,1360954.413,1360954.413,70.8,74.99,70.27,28.824860307482847,42.06308205524669,0.4041095245342671,-0.6810494034744543,24.4841,3.2082,4,20,20,5,0.34957627118644197,5,5,-4.671782321545182,0,59,C
688101.SH,三达膜,环境保护,20260727,14.68,17.660409697864747,-7.904490158432338,-0.5432060621745709,56577.407,2.2997,1.1767,0.37,487393.7628,487393.7628,14.55,14.69,14.15,14.30038273186489,25.402819177013505,-0.27268164698939884,-0.5410488303703441,12.1688,1.0765,12,20,20,0,0.24074074074073928,5,0,-16.876220590879594,0,57,C
300553.SZ,集智股份,电器仪表,20260727,43.68,63.38884509826501,2.9768925446723387,-6.558432035400173,200589.9862,5.0505,5.5608,0.68,484957.2,371669.6256,41.21,43.94,40.18,9.715477811687137,13.084770445194536,-3.351718547740065,-6.413426975320217,283.214,5.7107,12,10,20,0,0.6569148936170213,10,5,-31.091976936498018,0,57,C
600479.SH,千金药业,中成药,20260727,9.53,9.724434214243521,-0.05820112922739895,0.011710288289084048,37959.48,1.9251,0.955,0.53,469076.13,398837.2663,9.34,9.56,9.28,27.545119007806,41.346779076322704,0.038063116387686356,-0.05270565619720462,15.2228,1.5115,12,10,20,0,0.678571428571424,10,5,-1.999439864159204,0,57,C
688696.SH,极米科技,家用电器,20260727,61.55,73.10857359485179,4.737104908170565,-2.1139152788202793,43770.748,1.5677,1.0152,0.74,430973.1,430973.1,61.03,62.36,60.0,23.183328818998657,32.4064407744127,-2.350595983434379,0.47336140922819947,32.8795,1.4399,12,20,20,0,0.22033898305084582,5,0,-15.810147875277014,0,57,C
301101.SZ,明月镜片,文教休闲,20260727,27.6,31.08849598241518,-1.1787175008497996,-0.562221012772472,47523.3105,2.1088,0.8874,0.63,556173.396,535724.556,26.99,27.88,26.88,17.02074385735662,26.12047453645983,-0.5542801511244548,-0.015881723296034433,27.5444,3.0582,12,10,20,0,0.610000000000003,10,5,-11.221179642747598,0,57,C
688566.SH,吉贝尔,化学制药,20260727,23.79,25.482536625108377,-1.915800697610507,-0.39176572637351725,26868.859,2.987,0.564,0.46,478420.7064,478420.7064,23.31,24.0,23.04,14.837239097911112,23.213758995671924,-0.0668749468742806,-0.6497815589984733,18.8303,1.928,12,10,20,0,0.5,10,5,-6.641947189200516,0,57,C
301047.SZ,义翘神州,生物制药,20260727,69.0,66.49758919282512,-2.8469956588334497,1.379829330288942,109046.80054,1.0249,1.3179,0.62,839293.23,825106.14,67.99,70.39,67.67,23.551922672534253,36.7513818382181,1.7416048405472602,-0.7235510205166364,53.3741,1.5722,4,20,20,0,0.3713235294117667,5,0,3.763160195053936,5,54,C
301230.SZ,泓博医药,生物制药,20260727,25.56,28.69140060576427,-2.668606566910441,-0.5835986244627946,276687.27465,3.4818,6.687,0.75,462485.4516,415983.6324,24.5,26.100000000000005,24.36,16.808107514292054,26.5464645548933,0.023712985784657803,-1.214623220494905,100.3219,4.4904,12,10,20,0,0.6091954022988479,10,0,-10.914073693339159,0,52,C
300528.SZ,幸福蓝海,影视音像,20260727,14.2,15.251166666666666,3.2596967186494794,-0.12086399289971261,303330.2452,6.9277,5.8343,0.91,529103.502,529103.502,14.02,14.449999999999998,13.3,22.97813818001347,32.837358910695464,-0.021188416156510903,-0.19935115348640342,,13.7866,12,10,20,5,0.15652173913043496,0,5,-6.892368889811711,0,52,C
300791.SZ,仙乐健康,医疗保健,20260727,16.03,17.17344698324866,1.581468637916359,-0.178548857030826,16868.39516,2.5592,0.4121,0.67,494832.7951,412623.7416,15.63,16.07,15.52,29.220027587965223,43.03930706298966,-0.14320756526041217,-0.07068258354082768,42.0075,1.7756,12,0,20,0,0.727272727272727,10,10,-6.658226414091478,0,52,C
600694.SH,大商股份,百货,20260727,14.13,14.597532177079414,2.4321832612031073,-0.005064842156867755,43914.536,0.7128,0.8203,0.69,535235.3568,535235.3568,13.98,14.22,13.88,31.143632419910723,45.499356999264535,-0.00703153640595678,0.00393338849817805,10.703,0.5852,12,10,12,0,0.4411764705882365,10,5,-3.2028165542496088,0,49,D
300860.SZ,锋尚文化,文教休闲,20260727,23.13,25.424040021473463,4.322049314023253,-0.6217708701238251,57881.1773,0.2166,2.2927,0.82,435886.4691,253081.2897,23.0,23.43,22.81,16.241868637415006,22.20177829911088,-0.3241862468091576,-0.5951692466293351,,1.3936,12,20,5,5,0.20967741935483677,5,0,-9.023113633930285,0,47,D
