ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
000518.SZ,四环生物,生物制药,20260724,3.47,3.4328333333333334,1.0230243151080884,0.04698821200087977,160142.96568,0.0,4.4563,0.81,357256.0014,357248.8879,3.47,3.58,3.38,24.55146902323423,36.3156913772973,0.09720937406841548,-0.10044232413507143,,11.05,25,20,5,5,0.0,0,10,1.082681943972427,3,68,B
300860.SZ,锋尚文化,文教休闲,20260724,23.08,25.439746166745078,0.006496006508214691,-0.5591824146937832,55591.17548,0.6981,2.2232,0.81,434944.2156,252534.2052,22.7,23.399999999999995,22.35,16.789987422141948,25.181733129958815,-0.24979009098049068,-0.618784647426585,,1.3906,12,20,12,5,0.3619047619047632,5,10,-9.275824339119183,0,64,C
301092.SZ,争光股份,化工原料,20260724,43.7,47.487925373134324,3.301404409260286,-0.4087174452776665,327197.0993,1.2512,12.3285,0.66,587919.261,266305.178,41.69,45.24,41.1,25.37000736231778,36.404308838846525,1.2093319648256,-3.236098820206533,62.7339,2.9738,12,0,20,0,0.48550724637681275,10,5,-7.976607407821801,0,47,D
688584.SH,上海合晶,半导体,20260724,29.09,29.882166666666667,1.0529631434233409,-0.04652786186375124,728509.097,0.2067,7.0896,0.84,1946689.1277,998660.2818,28.32,31.900000000000002,28.0,17.146859186957887,25.19380720872516,1.3915461835883476,-2.8761480909041977,164.0109,4.6782,4,10,5,5,0.1974358974358972,0,10,-2.650967968632351,0,34,D
