ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
688598.SH,金博股份,矿物制品,20260602,30.51,26.589499999999997,-11.540212742076932,1.5446274168888863,283945.592,1.497,4.5707,0.8,633305.5769,621109.2044,29.65,31.329999999999995,29.510000000000005,18.956053286226496,34.20418630037821,2.1183759501080477,-1.1474970664383228,,1.6409,12,20,20,5,0.47252747252747684,10,0,14.744542018465953,0,67,B
300667.SZ,必创科技,电器仪表,20260602,17.11,17.811166666666665,4.490948428861035,-0.3091560562385709,118642.3814,0.8844,4.0412,0.88,350132.2627,295370.741,16.97,17.44,16.52,11.850964223787479,15.5309721212507,0.05967349098333008,-0.737659094443802,,3.388,25,20,12,5,0.1521739130434786,0,0,-3.9366689436402202,0,62,C
603120.SH,肯特催化,化工原料,20260602,47.49,43.12316666666666,-2.7630099141573368,1.8637050887997475,91178.653,1.4744,5.1843,0.76,429309.6,179987.1,46.8,47.7,44.86,21.4974769023126,33.627720310547566,2.789137667418986,-1.850865157238477,50.9611,3.6036,25,10,20,0,0.24295774647887464,5,0,10.126420833349451,0,60,C
002301.SZ,齐心集团,文教休闲,20260602,7.87,7.315333333333333,-0.45721280551690313,0.20098052711335512,137725.95384,0.6394,2.4464,1.11,567669.3433,565058.3055,7.830000000000001,7.98,7.63,22.526667444151325,34.01860756898544,0.26277850269955144,-0.12359595117239264,76.1892,1.8188,12,20,12,10,0.11428571428571167,0,5,7.582247334366174,0,59,C
300652.SZ,雷迪克,汽车配件,20260602,43.36,44.446999999999996,-9.030247242641906,0.4167599890213509,152525.7641,2.3124,2.9909,0.69,578381.5202,519096.9315,42.47,44.08,41.35,26.06037401243715,43.60568463997668,1.1223569028512814,-1.411193827659861,43.4664,3.739,12,20,20,0,0.32600732600732657,5,0,-2.4456093774607877,0,57,C
300024.SZ,机器人,专用机械,20260602,15.200000000000001,15.458499999999999,-3.6762500194567167,0.05372194355386206,543701.63171,1.8767,2.2806,0.6,2379742.324,2379088.3546,14.93,15.38,14.93,25.697857679274335,40.38491152863986,0.20064415254704315,-0.2938444179863622,,5.8815,4,20,20,0,0.6000000000000015,10,0,-1.6722191674483162,0,54,C
688003.SH,天准科技,专用机械,20260602,97.81,74.16166666666666,-2.1566520332995367,7.251271543409672,575936.836,3.2841,3.0252,0.71,1900648.8105,1900648.8105,95.9,100.0,95.38,32.87767640795172,50.39484062857734,7.992288521130603,-1.482033955441862,168.0193,9.622,4,20,20,0,0.4134199134199123,10,0,31.88754298042566,0,54,C
688683.SH,莱尔科技,元器件,20260602,37.72,39.02316666666666,-3.666948508421342,-0.5498036091089702,80704.902,0.2125,1.3812,0.83,607660.9016,585331.1482,38.77,38.77,36.5,10.808925768499737,18.04686290696028,0.5703891106956739,-2.2403854396092884,135.2336,5.0268,12,20,5,5,0.4625550660792964,10,0,-3.3394692896100073,0,52,C
603322.SH,超讯通信,通信设备,20260602,31.49,33.88766666666667,0.8905948598307845,-0.6456751875671074,171574.908,0.4145,3.4814,0.75,496240.8206,496240.8206,31.2,31.78,30.54,11.080364955135668,16.17525000278811,0.04271482164016269,-1.3767800184145402,,18.8606,12,20,5,0,0.23387096774193442,5,10,-7.075337143306816,0,52,C
301459.SZ,丰茂股份,汽车配件,20260602,35.11,38.24333333333334,-6.971807337905041,-0.5792867120323066,21673.0607,0.1426,2.3667,0.32,365571.71,91633.5574,35.0,35.59,34.6,17.458905871182665,29.67426247572652,-0.0032048358533425247,-1.1521637523579282,43.2597,2.87,25,20,5,0,0.11111111111111031,0,0,-8.193149132746465,0,50,C
300946.SZ,恒而达,机械基件,20260602,46.35,47.99230507497116,-10.566559011112055,-0.12958624641976968,70909.10806,1.0024,2.0242,0.77,723096.153,351352.9305,45.96,47.5,45.58,14.817168174913858,27.509031767926814,0.8943767479044717,-2.047925988648483,231.8008,6.1477,4,20,20,0,0.2031250000000001,5,0,-3.4220174930244247,0,49,D
600699.SH,XD均胜电,汽车配件,20260602,26.35,26.986540432501236,-12.15548245004598,-0.10019394855175534,854643.248,1.3851,2.4025,0.44,4086280.4335,3570566.3519,26.26,26.57,25.81,17.19920879798372,31.87655442199857,0.503878204486927,-1.2081443060773647,29.2408,2.369,4,20,20,0,0.11842105263157851,0,0,-2.358732991705071,0,44,D
300790.SZ,宇瞳光学,元器件,20260602,23.15,20.909709047269537,-7.43920364112207,0.6394086612194947,681568.74776,1.803,6.3276,1.28,1210270.3625,1063450.4674,22.92,23.96,22.63,17.58618562226341,30.09888025395615,1.0116176820457845,-0.7444180416525796,47.6436,4.5187,4,10,20,10,0.17293233082706508,0,0,10.714118248445962,0,44,D
688323.SH,瑞华泰,塑料,20260602,30.19,25.312666666666665,-13.030936691854023,2.0055422323520347,452927.713,1.7183,8.3617,0.73,543425.3617,543425.3617,29.27,31.29,28.81,21.197855086159596,38.31225097516641,2.999676198899643,-1.9882679330952167,,7.5941,12,0,20,0,0.3709677419354845,5,0,19.268350496457646,0,37,D
300258.SZ,精锻科技,汽车配件,20260602,12.75,12.930333333333332,-13.414607405153603,0.1923114033127966,233461.95299,0.4728,3.2158,0.52,745935.2348,726612.6035,12.8,13.02,12.46,20.71734675941651,37.783323841701566,0.34045386305595804,-0.29628491948632285,81.7032,1.5855,4,20,5,0,0.08928571428571576,0,0,-1.3946533989842878,0,29,D
688698.SH,伟创电气,电气设备,20260602,64.91,70.75866666666666,-20.164056756405074,-0.41009113962864774,354010.139,0.1852,2.5298,0.72,1389221.826,1389221.826,65.48,67.0,64.09,14.66199933231523,32.07502737667538,1.293513115030503,-3.4072085093183015,54.6029,5.803,4,20,5,0,0.1958762886597966,0,0,-8.265654148372864,0,29,D
688305.SH,科德数控,机床制造,20260602,60.85000000000001,60.98416666666667,-10.73928671620088,0.5689715711231713,172210.205,0.4291,2.155,0.62,808737.1356,804520.8391,60.59,61.57999999999999,59.54,14.748631107066561,27.492590018700284,1.6282868500520882,-2.1186305578578337,89.8086,4.2131,4,20,5,0,0.12745098039215988,0,0,-0.22000245965481477,0,29,D
301629.SZ,矽电股份,半导体,20260602,354.0,311.13660535465925,-0.416521847465809,10.986311356822966,411175.34551,0.2748,6.0285,0.65,1477145.4996,679540.3116,354.66,365.0,343.01,16.28312041557235,24.632941547091427,20.21775886545741,-18.462895017268885,477.6597,12.6035,4,10,5,0,0.03001364256480331,0,5,13.776390790303026,0,24,D
