ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
300599.SZ,雄塑科技,塑料,20260624,11.18,11.647039808068245,1.9962128588089172,-0.16596128695856827,149550.33062,1.4519,7.2767,0.7,400391.1288,210222.4592,11.0,11.33,10.51,22.400522291286755,32.60267700752567,0.1340235725874206,-0.5999697190919777,,2.0479,25,10,20,0,0.2195121951219508,5,10,-4.009944292838365,0,70,B
301228.SZ,实朴检测,电器仪表,20260624,75.87,61.64566666666666,3.974016932073482,3.815029939637867,244628.67561,1.0253,2.7699,0.83,910440.0,906193.5561,73.66,76.14,72.0,35.131013463690095,50.7095117294984,4.752315897038211,-1.874571914800688,,15.1948,4,20,20,5,0.5338164251207748,10,5,23.074344236145294,0,64,C
301295.SZ,美硕科技,电气设备,20260624,41.77,43.960639311043565,2.381136996520155,-0.8744914498997503,69550.5114,0.1679,5.685,1.04,421041.6,122803.8,41.92,42.64,40.61,20.012876290825073,28.82874593797753,-0.18094809186716257,-1.3870867160651754,121.6787,4.312,12,10,5,10,0.0738916256157628,0,5,-4.983183469065793,0,42,D
