ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
301106.SZ,骏成科技,元器件,20260615,20.61,22.719376782499246,3.528715700646778,-1.0272991869984054,126917.1938,6.4566,4.3957,1.32,294642.1449,294642.1449,19.6,21.1,19.25,11.747694654238085,15.857184131033737,-0.3827620484157651,-1.2890742771652806,39.6834,2.3346,25,20,20,10,0.5459459459459445,10,5,-9.284483472821762,0,90,A
603725.SH,天安新材,塑料,20260615,11.0,10.173666666666668,1.4061202192653752,0.22717969315522346,140752.627,1.1029,4.5289,0.64,335343.448,315323.448,10.82,11.14,10.56,23.529514567346432,34.59121174138696,0.4377974278036195,-0.4212354692967921,28.9671,3.8958,25,20,20,0,0.31034482758620635,5,10,8.12227646538448,0,80,A
300040.SZ,九洲集团,新型电力,20260615,6.46,7.400211757981889,-6.479331201101459,-0.22902779130900264,154896.99258,2.0537,4.6481,0.59,415643.1417,334224.9251,6.39,6.500000000000001,6.340000000000001,13.751977238248779,23.8676314579239,-0.08534482884465178,-0.2873659249287017,94.734,1.5983,25,20,20,0,0.4375000000000014,10,0,-12.705200725746455,0,75,B
000518.SZ,四环生物,生物制药,20260615,3.18,3.170666666666667,4.668524837102375,-0.022913515520102568,113688.14515,1.2739,3.4847,0.57,327398.8786,327392.3504,3.16,3.23,3.14,11.346113844550542,14.684908348274625,0.06484684491240385,-0.17552072086501283,,10.1266,25,20,20,0,0.22222222222222276,5,0,0.29436501261563897,3,73,B
300394.SZ,天孚通信,通信设备,20260615,305.04,259.5730942906637,3.632429960987764,11.225426917134996,15995582.7068,8.5745,4.9773,1.34,33274528.6369,33200189.0772,286.56,306.12,277.18,20.136799443155045,28.388984184238687,15.987598754212796,-9.524343674155599,153.2076,60.867,4,20,20,10,0.6385625431928134,10,5,17.516031788111135,0,69,B
300286.SZ,安科瑞,电器仪表,20260615,27.45,27.08331545291123,-2.1419623450462666,0.2308502575449154,265388.28824,3.312,4.7428,1.11,688403.878,570342.5232,26.64,27.46,26.47,12.84140159905218,20.333083571101405,1.0046404957687727,-1.5475804764477146,33.8667,3.1061,4,20,20,10,0.8181818181818152,10,0,1.3539130677199072,3,67,B
300317.SZ,珈伟新能,电气设备,20260615,4.82,5.310333333333333,-6.233908695408111,-0.10295012563092598,213260.1864,2.1186,5.3443,0.77,400150.8112,399536.2612,4.73,4.89,4.71,13.055883672097266,22.700779855849955,-0.015335641267038454,-0.17522896872777505,,2.8167,25,10,20,0,0.5,10,0,-9.233569769631531,0,65,B
301609.SZ,山大电力,电气设备,20260615,38.43,47.62581216931218,2.1830134342345104,-2.4868204701317325,94214.82358,2.48,6.7139,0.81,625947.84,140838.264,37.52,38.96,37.45,13.242938513392321,18.77290105297123,-1.29260718630576,-2.388426567651945,46.419,5.0843,12,10,20,5,0.6026490066225151,10,5,-19.30846268116247,0,62,C
300266.SZ,兴源环境,环境保护,20260615,2.04,2.3441666666666667,0.9059403434665683,-0.05884438325624952,36663.284,0.4926,1.1523,0.69,316976.6921,316820.3873,2.04,2.1,2.02,18.972899845405905,28.006379596375574,-0.06104407809150462,0.004399389670510193,,103.7738,25,20,5,0,0.0,0,10,-12.975471027372912,0,60,C
301291.SZ,明阳电气,电气设备,20260615,43.06,54.058166666666665,3.6951565259698036,-3.532090642695117,290275.86122,1.7726,4.1358,0.8,1353219.2381,703472.4946,42.76,43.44,42.58,7.701328231734951,9.704414084617525,-2.1582660468929697,-2.747649191604294,27.03,2.6272,4,20,20,5,0.34883720930233075,5,5,-20.345060413320212,0,59,C
