ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
301059.SZ,金三江,化工原料,20260623,12.12,14.060269045156842,-3.0693265691792107,-0.4936790331897267,62492.87548,1.5926,2.4972,0.48,280158.648,250290.6048,11.88,12.25,11.82,25.275572966271472,39.448022733996815,-0.24617791709345838,-0.4950022321925367,33.4925,4.277,25,20,20,0,0.5581395348837177,10,0,-13.799658021659136,0,75,B
601838.SH,成都银行,银行,20260623,18.73,18.36133333333333,1.8721253333127805,0.11244063889331102,507678.709,1.8488,0.6448,1.18,7938589.5042,7938589.5042,18.34,18.79,18.25,31.052107479363173,45.64209855238837,0.24184155831352588,-0.25880183884042973,5.9118,0.863,4,10,20,10,0.7222222222222244,10,10,2.007842567714779,5,69,B
300599.SZ,雄塑科技,塑料,20260623,11.02,11.61355701676441,-2.6777841188238654,-0.08219067007707004,142836.88825,1.8484,6.8862,0.56,394661.0232,207213.9088,10.8,11.21,10.64,24.243241537488796,37.703754365645125,0.2090197874739178,-0.5824209151019757,,2.0186,25,10,20,0,0.38596491228069957,5,0,-5.110897685417129,0,60,C
688278.SH,特宝生物,生物制药,20260623,54.37,59.18928188824662,2.3676206518455984,-0.8143296929575712,160577.97,1.0783,0.7236,0.62,2219326.3115,2219326.3115,53.23,55.0,53.23,26.894035383161953,39.15724274882013,-0.7383867336849933,-0.15188591854515576,21.8954,6.1132,4,10,20,0,0.6440677966101687,10,5,-8.142152995445615,0,49,D
301295.SZ,美硕科技,电气设备,20260623,41.7,43.83519199594731,0.29140909484218014,-0.6676360926858962,80102.80152,0.072,6.5096,1.24,420336.0,122598.0,41.67,42.46,41.25,22.254923539316565,33.23668076155376,-0.007562252359015642,-1.320147680653761,121.4748,4.3047,12,10,5,10,0.02479338842975299,0,10,-4.870953904216306,0,47,D
300910.SZ,瑞丰新材,化工原料,20260623,28.080000000000002,34.65853572407546,3.5278389473090854,-1.5619567804161107,170140.28884,0.9346,2.2748,0.49,1075582.7784,753319.2888,27.87,28.18,27.46,16.972669188974585,23.695084309807335,-1.0951159985489456,-0.9336815637343303,15.7853,2.7171,4,20,12,0,0.2916666666666683,5,5,-18.980997282887802,0,46,D
600674.SH,川投能源,水力发电,20260623,14.390000000000002,15.073833333333333,2.572899295771805,-0.1680441574134921,574972.889,0.9116,0.8189,0.88,7014559.1852,7014559.1852,14.24,14.580000000000002,14.18,19.745600517499366,28.331951128363144,-0.043271045906610704,-0.24954622301376278,14.8359,1.5124,4,10,12,5,0.37500000000000333,5,5,-4.536558937673434,0,41,D
