ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
301016.SZ,雷尔伟,运输设备,20260604,15.390000000000002,16.850569220945083,1.8065197986254447,-0.5092642080530538,55638.467,1.5172,1.244,0.85,470564.64,451196.2357,14.99,15.560000000000002,14.86,8.421429865194929,11.72888489847967,-0.0649188207200609,-0.8886907746659859,67.4777,4.711,12,20,20,5,0.5714285714285722,10,10,-8.66777378137237,0,77,B
301596.SZ,瑞迪智驱,机械基件,20260604,75.5,72.06066666666668,1.051164077779653,0.8258271248979128,146602.296,2.5676,6.2232,0.96,582598.015,236440.4282,72.86,77.29,72.0,16.488223566285214,24.206753310537994,2.3024369746995994,-2.9532196996033733,57.3012,6.5104,12,10,20,5,0.4990548204158785,10,10,4.7728303003950225,5,72,B
300100.SZ,双林股份,汽车配件,20260604,30.760000000000005,31.084807425632583,-1.1627197428599345,-0.13226415196669095,589750.94,5.1624,3.4506,1.15,1759419.5234,1695355.9575,29.010000000000005,32.12,28.879999999999995,17.733757552769674,27.18199620058448,0.3316597080677093,-0.9278477200688005,41.0801,5.3957,4,20,20,10,0.5401234567901231,10,5,-1.044907311745934,0,69,B
300024.SZ,机器人,专用机械,20260604,15.060000000000002,15.409666666666665,-1.843091915650298,-0.06109515625654538,517389.539,1.688,2.2026,0.81,2357823.6447,2357175.6987,14.65,15.25,14.600000000000001,18.317821803815423,28.398278663548286,0.11270788403669228,-0.34760608058647535,,5.8273,4,20,20,5,0.6307692307692351,10,5,-2.269138419606713,0,64,C
300829.SZ,金丹科技,食品,20260604,17.39,19.107333333333333,-8.662533800534504,-0.20658194919154482,62354.528,0.4622,2.297,0.51,395231.4111,272576.8265,17.18,17.55,17.06,17.775219830836342,30.994096646521765,0.006797115733385185,-0.42675812984986,37.3565,1.6202,25,20,5,0,0.42857142857142855,10,0,-8.987823174348414,0,60,C
688737.SH,中自科技,汽车配件,20260604,24.99,27.55816666666667,-2.351727350942106,-0.7671138069827563,62628.509,0.2005,2.0823,1.14,298791.708,298791.708,24.92,25.75,24.44,10.898194625585049,17.523155613848626,-0.09021077093385951,-1.3538060720977936,,1.6839,25,20,5,10,0.05343511450381435,0,0,-9.319076619755801,0,60,C
688101.SH,三达膜,环境保护,20260604,17.23,17.62845330787619,2.5260744648755207,-0.23741092681014564,79302.156,0.5838,1.3899,0.55,572056.7897,572056.7897,16.89,17.53,16.89,13.285363472676073,18.665007976576348,0.03766518267963464,-0.5501522189795606,14.2826,1.2833,12,20,12,0,0.5312499999999993,10,5,-2.260285124947202,0,59,C
301631.SZ,壹连科技,元器件,20260604,83.16,75.75422061989886,3.227911393073029,1.1811071680028533,228148.847,2.819,6.3586,1.28,1064285.1062,362531.3547,80.17,84.88,79.96,14.016552137290432,19.410872509399134,3.539649864604217,-4.717085393202727,35.014,4.1333,4,10,20,10,0.6077235772357711,10,5,9.776061742170194,0,59,C
002786.SZ,银宝山新,专用机械,20260604,8.03,7.798166666666668,-15.95606604422202,0.13183634922422094,117011.207,0.2497,2.9397,0.61,397976.436,396771.936,8.01,8.37,7.94,13.894185276809763,28.819310937325653,0.2660779278384329,-0.268483157228424,,19.9745,25,20,5,0,0.046511627906975876,0,0,2.9729209857017445,5,55,C
603290.SH,斯达半导,半导体,20260604,121.33,111.12666666666665,-2.007395564259383,3.3337182150060443,1129706.899,2.8569,3.9099,0.65,2905531.563,2905531.563,117.66000000000001,122.70000000000002,115.99999999999999,25.289354745813633,38.937729900850144,5.278325171714897,-3.8892139134177057,88.5412,4.1722,4,20,20,0,0.5477611940298464,10,0,9.18171455996162,0,54,C
003001.SZ,中岩大地,建筑工程,20260604,17.24,18.285666666666668,-5.876156431713362,-0.1945847920994872,206473.326,2.0118,10.2443,2.24,300924.8793,197167.9874,16.8,18.39,16.79,8.99750345261159,16.434333394774065,0.3413603502593281,-1.0718902847176306,298.8535,2.5135,25,0,20,0,0.27499999999999836,5,0,-5.718504475272085,0,50,C
