ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
301119.SZ,正强股份,汽车配件,20260629,23.05,28.104145812487936,-1.932337796703493,-0.891750912729794,75776.39462,1.2742,2.8244,0.75,335608.0,271422.97,22.5,23.34,22.3,30.889460691278373,47.300359935269306,-0.9641264667395917,0.14475110801959534,33.455,3.1443,25,20,20,0,0.528846153846155,10,5,-17.983630764690066,0,80,A
301575.SZ,艾芬达,家居用品,20260629,26.93,31.22170482353773,1.337756264513601,-1.0399959692241367,16639.57632,0.5977,2.5478,0.69,326763.5033,65633.796,26.61,27.15,26.35,25.14026403469579,37.041517919786884,-0.9725922005756593,-0.13480753729695483,27.3511,2.2999,25,20,12,0,0.4000000000000018,10,10,-13.74590160208759,0,77,B
301220.SZ,亚香股份,化工原料,20260629,30.58,38.07921489600112,-7.588680066898931,-1.8095692637279512,76426.7434,1.7299,3.1734,1.19,344853.1064,237854.298,30.21,32.28,30.15,12.567039109381898,22.644898697522315,-1.3293942313294858,-0.960350064796931,70.0247,1.9767,25,20,20,10,0.17370892018779202,0,0,-19.693722458518042,0,75,B
301195.SZ,北路智控,软件服务,20260629,26.86,31.01842480822116,-13.626184685455911,-0.6387740365182033,84241.09208,1.5117,3.611,0.94,354739.4828,235534.8028,26.45,27.12,25.930000000000003,13.652599283617823,27.29199126815469,0.1770678795026521,-1.6316838320417109,26.0792,1.4366,25,20,20,5,0.3445378151260512,5,0,-13.40630555526793,0,75,B
688118.SH,普元信息,软件服务,20260629,19.95,25.397127691925775,0.9798586714678095,-1.2302037700441666,50608.483,0.8595,2.745,0.92,186166.8165,186166.8165,19.86,20.2,19.37,21.652428921965704,31.98871404721465,-1.182961668732772,-0.09448420262278923,305.5764,2.204,25,20,12,5,0.1084337349397591,0,10,-21.447809996472632,0,72,B
300307.SZ,慈星股份,纺织机械,20260629,7.209999999999999,7.052713946117274,-1.283636036320999,0.06398854776176055,285051.0668,4.0404,5.1286,1.27,577199.2725,567354.4919,6.87,7.340000000000001,6.73,22.864118570162994,34.937995873404994,0.1813924128210384,-0.2348077301185557,51.5348,1.7496,12,10,20,10,0.5573770491803259,10,5,2.230149345122888,5,72,B
301082.SZ,久盛电气,电气设备,20260629,8.84,11.675606124797323,2.3072094823496343,-0.6274902978398167,66483.00484,0.2268,2.7508,1.44,260074.568,241073.7836,8.83,9.2,8.58,16.26099987957396,23.23789507818612,-0.6080570679236048,-0.03886645983242376,70.7276,2.5182,25,20,5,10,0.016129032258064193,0,5,-24.286586019503517,0,65,B
301283.SZ,聚胶股份,日用化工,20260629,24.99,29.82579892923359,0.4877140103841455,-1.0769609481877431,29051.7335,0.2005,1.2836,0.51,290440.5273,228321.135,24.8,25.209999999999997,24.18,20.37994132464474,30.326054981775037,-1.0812659438424652,0.008609991309444176,14.8618,1.6936,25,20,5,0,0.18446601941747395,0,10,-16.213476596912912,0,60,C
300501.SZ,海顺新材,广告包装,20260629,12.58,13.490517713212643,1.0338230393360703,-0.11843794715509404,75662.61956,0.239,4.2438,0.62,349953.8366,179484.6468,12.5,13.12,12.0,32.55923116259584,48.32193522422573,-0.06339202553728461,-0.11009184323561885,,2.5148,25,20,5,0,0.07142857142857154,0,10,-6.7493163166071835,0,60,C
688225.SH,亚信安全,软件服务,20260629,11.89,15.476833333333333,3.8377510613418195,-0.9059197598497217,49996.531,0.9338,1.0581,0.84,475611.89,475611.89,11.75,12.04,11.61,13.202227688588994,17.884466002212584,-0.8268905971385438,-0.15805832542235576,,3.064,12,20,12,5,0.32558139534883873,5,5,-23.175498863893342,0,59,C
300402.SZ,宝色股份,专用机械,20260629,14.9,17.721166666666665,-10.472281198705346,-0.47365384314648296,58190.74638,0.3367,1.6104,0.6,367717.845,362991.565,14.71,15.209999999999999,14.55,22.23857147917666,38.593997818117664,-0.371440381777304,-0.20442692273835794,71.6211,2.4221,25,20,5,0,0.28787878787878785,5,0,-15.919756976120825,0,55,C
688101.SH,三达膜,环境保护,20260629,16.14,17.788230387134828,3.919570577325544,-0.4835400585795391,55918.089,0.6862,1.0482,0.87,535867.5294,535867.5294,16.02,16.44,15.730000000000002,19.104808965879823,26.69742816015696,-0.3579385361637617,-0.25120304483155476,13.379,1.1836,12,20,12,5,0.1690140845070439,0,5,-9.265847986356723,0,54,C
688683.SH,莱尔科技,元器件,20260629,36.85,40.0055501632244,-0.5231349145709316,-0.8933161815262949,67902.5,0.9589,1.1971,0.79,593645.393,571830.5615,36.39,37.48,35.71,21.982356027173296,33.23510149804541,-0.6900903071208393,-0.4064517488109112,132.1145,4.9109,12,20,12,0,0.25988700564971856,5,5,-7.887780946267742,0,54,C
300403.SZ,汉宇集团,家用电器,20260629,8.96,11.173057146733969,3.715223782080564,-0.5233738374801131,98191.3434,0.4484,2.6028,0.89,540288.0,382644.7744,8.89,8.99,8.66,12.551988357781603,16.970370645632123,-0.39059248252402734,-0.26556270991217157,25.2701,2.4124,12,20,5,5,0.21212121212121293,5,5,-19.807086974229556,0,52,C
688692.SH,达梦数据,软件服务,20260629,232.83000000000004,255.76955236830457,-0.8335519814288688,-5.888655621078044,573030.392,0.9014,3.2908,1.13,2636566.92,1726776.7101,233.00000000000003,241.95,230.1,18.519624406706924,28.19621260077482,-1.2982989859934648,-9.180713270169159,46.2659,6.7847,4,20,12,10,0.014345991561180386,0,5,-8.96883626526112,0,51,C
300374.SZ,中铁装配,其他建材,20260629,10.33,13.025,-3.4632165050784707,-0.5857423259424515,50573.14372,0.0969,2.0082,0.72,254027.4059,253997.5522,10.32,10.4,10.0,10.397805751202313,17.328316879342704,-0.4863420264511852,-0.19880059898253255,,3.5769,25,20,5,0,0.024999999999999446,0,0,-20.69097888675624,0,50,C
300792.SZ,壹网壹创,互联网,20260629,25.44,33.407025558649245,-0.9713238660989134,-1.9704777331193633,134072.176,0.2364,2.4877,0.81,602782.4832,540685.7328,25.499999999999996,25.82,24.999999999999996,10.648332778335366,16.458161100552505,-1.596283163025841,-0.7483891401870446,53.3652,2.0294,12,20,5,5,0.07317073170731084,0,5,-23.848353528698222,0,47,D
688615.SH,合合信息,软件服务,20260629,108.72,129.42379657194405,-1.726592805735656,-5.5596147636151585,490297.489,0.6667,3.3245,0.97,2130912.0,1471397.9976,108.0,111.5,106.97,20.44736585810716,31.534345190028564,-4.659688068098373,-1.7998533910335706,43.2017,6.8907,4,20,12,5,0.15894039735099308,0,5,-15.996900972098462,0,46,D
688819.SH,天能股份,电气设备,20260629,21.79,27.829233011732477,-4.013227716049826,-1.0983188494044782,72445.853,1.2546,0.3456,1.06,2118205.9,2118205.9,21.4,21.93,20.99,21.596651594645856,34.40159124999369,-1.077632839852189,-0.04137201910457833,16.9977,1.2358,4,0,20,10,0.41489361702127664,10,0,-21.701040086826712,0,44,D
300482.SZ,万孚生物,医疗保健,20260629,17.48,18.225425728541754,-6.380264093636995,-0.03473669392205636,222111.26307,1.0405,2.9585,0.72,818219.0476,751768.8276,17.3,17.95,16.91,17.335202112559635,29.19293521565795,0.18460569924143722,-0.43868478632698715,,1.5125,4,20,20,0,0.17307692307692293,0,0,-4.0900319128040294,0,44,D
300258.SZ,精锻科技,汽车配件,20260629,10.54,12.477010401257726,-4.7936486354005865,-0.52191568528721,136568.55022,0.095,2.2968,0.89,616639.8542,600665.641,10.53,10.69,10.2,12.337410472959103,20.902940027138946,-0.31671838451255935,-0.4103946015493013,67.5413,1.3107,12,20,5,5,0.02040816326530568,0,0,-15.524635621546562,0,42,D
601390.SH,中国中铁,建筑工程,20260629,4.25,4.925166666666667,1.2706859618178896,-0.14714343204837732,532938.29,0.7109,0.622,0.79,10425806.8775,8637666.1275,4.21,4.29,4.13,18.625678984730545,27.303175496186874,-0.12842981626859803,-0.03742723155955857,4.9119,0.3243,4,10,12,0,0.25,5,10,-13.708503942336977,0,41,D
301262.SZ,海看股份,影视音像,20260629,18.2,22.11366666666667,3.0530743415103387,-0.9456859639610968,57816.48659,0.0,2.6067,0.93,758940.0,222177.228,18.27,18.39,17.87,17.842110351429003,25.236628356388337,-0.8765114406505532,-0.13834904662108727,19.5684,1.9918,4,20,5,5,0.13461538461538528,0,5,-17.69795450777048,0,39,D
300035.SZ,中科电气,电气设备,20260629,14.19,19.42719192053765,-11.482615046807538,-0.9698680815613461,287323.26155,0.0,3.497,0.82,972620.3454,827775.3528,14.18,14.310000000000002,13.74,13.490218115106922,25.976634696064153,-0.7981413611436194,-0.34345344083545326,24.3073,1.931,4,20,5,5,0.01754385964912237,0,0,-26.958049016858165,0,34,D
300919.SZ,中伟新材,电气设备,20260629,42.93,53.289658829465196,-3.747000415826392,-2.1898076239104043,668901.26039,0.4916,1.7328,0.84,4474395.9927,3917343.1815,42.71,43.23,41.32,24.72900579584544,38.96700890168135,-1.9114814075114288,-0.556652432797951,24.6524,1.8853,4,20,5,5,0.11518324607329804,0,0,-19.440279891109157,0,34,D
300770.SZ,新媒股份,影视音像,20260629,32.02,36.579567185210244,4.667485658870177,-0.9146059307352985,66602.71969,0.5022,0.9177,0.93,729539.1972,729539.1972,32.1,32.46,31.020000000000003,32.38690817741756,46.246619436691255,-0.8534082672220855,-0.12239532702642597,11.3497,1.9648,4,10,12,5,0.055555555555554456,0,0,-12.464792604363437,0,31,D
688750.SH,金天钛业,小金属,20260629,16.06,17.925166666666666,-8.761369538704955,-0.31409738192938974,98684.511,0.2497,2.6676,0.48,742775.0,374066.7898,16.01,16.22,15.65,21.522575754792364,36.66454840154102,-0.22188088912424309,-0.1844329856102933,124.8198,3.0022,4,20,5,0,0.08771929824560928,0,0,-10.405296092086548,0,29,D
