ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
688737.SH,中自科技,汽车配件,20260703,19.58,26.641833333333334,1.9634654290029552,-2.1722501589065892,34677.155,3.5979,1.4892,0.59,234107.291,234107.291,19.32,19.71,19.01,8.773675034472515,12.178779837207294,-1.65214234688029,-1.0402156240525984,,1.3194,25,20,20,0,0.37142857142856894,5,10,-26.50655923328601,0,80,A
688193.SH,仁度生物,医疗保健,20260703,51.7,52.66460629415542,2.5168609409274154,0.08791571711225288,40624.374,3.9823,1.9631,0.66,207161.383,207161.383,49.72,52.5,49.72,34.074983774123496,49.854045190721536,0.39574942347517567,-0.6156674127258456,149.447,2.2552,25,20,20,0,0.7122302158273393,10,5,-1.8316025923893895,0,80,A
603097.SH,江苏华辰,电气设备,20260703,18.67,20.32639825775932,1.8587439865380162,-0.2462526877046507,43173.134,0.5385,1.0237,1.08,429290.3253,419471.5856,18.16,18.98,18.16,30.488813652508572,44.80384848549385,-0.29327769730716824,0.09405001920503508,86.1124,3.9794,12,20,12,10,0.6219512195121968,10,10,-8.149000313555357,0,74,B
301252.SZ,同星科技,机械基件,20260703,39.29,38.91583354128158,-0.09855819113151654,0.40448597325050173,176060.02576,4.4947,3.2928,1.03,664886.9895,533199.4823,37.6,40.48,37.06,23.09354849250918,34.68960183432953,0.8570909772808797,-0.9052100080607559,70.1756,4.9108,4,20,20,10,0.49415204678362584,10,5,0.9614761516581878,3,72,B
002700.SZ,万憬能源,供气供热,20260703,6.68,7.295833333333333,3.650585267709996,-0.35147771726604926,78351.589,10.0494,5.6506,0.62,276303.5708,143476.9144,6.11,6.68,6.04,9.042696386452217,11.738751945823328,-0.06956076161337747,-0.5638339113053435,35.8374,1.976,25,10,20,0,0.8906249999999996,10,5,-8.44089091947459,0,70,B
301233.SZ,盛帮股份,汽车配件,20260703,37.81,40.26086512373032,4.490322767884663,-0.7864267319739682,45265.3606,1.6945,3.02,0.77,271350.2708,148881.0341,37.1,38.68,36.7,26.656125523911918,37.73902690192554,-0.6373146275688553,-0.2982242088102258,33.333,2.7019,25,20,20,0,0.35858585858585956,5,0,-6.087462641943436,0,70,B
300449.SZ,汉邦高科,IT设备,20260703,7.19,8.036833333333334,2.250035901876352,-0.2691321185634008,71585.236,0.5594,2.5717,0.57,277559.884,277559.884,7.25,7.3,7.1,14.745888367056914,20.993814599647195,-0.14950121676666528,-0.23926180359347105,,9.9757,25,20,12,0,0.29999999999999777,5,5,-10.536903009062444,0,67,B
300697.SZ,电工合金,铜,20260703,15.100000000000001,16.27249239975869,-5.200697455837776,-0.3603521467136197,247230.01652,2.3035,4.9344,1.32,653286.4,500172.4,14.98,15.5,14.850000000000001,11.425488373527578,19.738581288210256,-0.08849735156916719,-0.5437095902889051,35.2625,4.9814,12,20,20,10,0.18461538461538654,0,0,-7.205364556053354,0,62,C
300626.SZ,华瑞股份,电气设备,20260703,33.99,32.88129325947458,2.412801943715891,0.10101891145693997,309005.5352,2.4104,5.0434,0.99,611820.0,611485.1985,33.82,35.33,32.1,19.54103190502496,28.105146885679492,1.0240455502973547,-1.8460532776808294,413.8061,11.4965,12,10,20,5,0.052631578947369,0,5,3.371846513993034,5,57,C
688777.SH,中控技术,专用机械,20260703,104.2,89.3053345237315,-4.8577219046449756,5.179910444562438,2364639.861,1.165,2.8882,0.84,8244194.59,8202614.622,102.99,107.63,99.0,25.145800044256365,40.14756101870704,7.701200512296196,-5.0425801354675155,208.1505,8.2166,4,20,20,5,0.14020857473928258,0,0,16.678360319349654,0,49,D
300790.SZ,宇瞳光学,元器件,20260703,24.3,23.446758337340658,1.509740825948512,0.3627260189430146,759929.88598,1.6736,6.7153,0.75,1270391.85,1116278.577,24.21,25.16,23.83,25.071509053940005,36.85239316793575,0.6826655593062223,-0.6398790807264154,50.0103,4.6782,4,10,20,0,0.06766917293233063,0,10,3.6390602503907505,5,49,D
300341.SZ,麦克奥迪,电气设备,20260703,13.2,14.79732675664341,-1.4509511489132052,-0.4563029869315489,91960.756,0.9946,1.3364,0.86,682981.596,680286.42,13.17,13.69,13.12,12.404234357535401,19.331827110759704,-0.2970377960957281,-0.3185303816716416,38.1338,3.4563,4,20,12,5,0.05263157894736727,0,5,-10.79469814320532,0,46,D
300465.SZ,高伟达,软件服务,20260703,11.110000000000001,14.448,2.880960652248387,-1.054821556084093,146752.0042,0.0901,2.9774,0.59,493005.5834,493005.5834,11.100000000000001,11.27,10.91,8.275814251019227,10.973241050404647,-0.6400847755018713,-0.8294735611644435,196.943,7.3767,12,20,5,0,0.027777777777777228,0,5,-23.10354374307862,0,42,D
300490.SZ,华自科技,专用机械,20260703,13.11,16.995333333333335,-2.7302563070344377,-0.8786881889794067,168067.1085,0.0,3.2419,0.8,522657.2877,515554.1586,13.11,13.35,13.03,13.382427922526915,21.43877003730759,-0.8687749783495398,-0.019826421259733884,,2.3482,12,20,5,5,0.0,0,0,-22.86117757815872,0,42,D
301428.SZ,世纪恒通,互联网,20260703,33.35,35.12783333333333,-6.4868403031646125,-0.3512063439305848,155341.54237,0.2103,6.7184,0.68,329053.4445,232207.7125,33.13,33.78,32.63,14.227080910334134,24.584041517083506,0.3316929051811327,-1.365798498223435,,2.7303,25,10,5,0,0.1913043478260862,0,0,-5.061038967200729,0,40,D
688668.SH,鼎通科技,通信设备,20260703,322.83,289.56626308900525,-4.578116844213078,8.535066289339056,1481386.058,0.5576,3.2474,0.73,4496072.7798,4496072.7798,324.26,338.0,317.6,12.894243958159258,21.630424359345426,23.905718741151606,-30.7413049036251,167.7914,21.8547,4,20,12,0,0.07009803921568669,0,0,11.487435226793087,0,36,D
301577.SZ,美信科技,元器件,20260703,72.0,76.92516666666667,-4.177629857040365,-2.162584144260123,109544.79175,0.1948,8.0288,0.85,324212.4,135656.64,72.34,74.43,70.7,7.734486533490703,13.690544728756237,0.9247086854254721,-6.17458565937119,,4.4061,25,0,5,5,0.09115281501340565,0,0,-6.402542730922479,0,35,D
