ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
688251.SH,井松智能,专用机械,20260702,25.309999999999995,29.296333333333333,-0.6458157577907571,-0.5197015401935552,61497.26,1.6058,2.4113,0.83,254624.9275,252855.2523,25.35,26.29,24.73,27.800275935187532,42.02332178167668,-0.6927618139395813,0.3461205474920521,171.4593,3.0194,25,20,20,5,0.02564102564102967,0,5,-13.606936021572682,0,75,B
301020.SZ,密封科技,汽车配件,20260702,21.78,24.02089269814397,-5.057136487897118,-0.8019486445687463,92965.09793,1.8233,2.8695,0.79,318859.2,318859.2,21.38,22.8,21.16,14.60405090229232,24.434644597387038,-0.3900572238833263,-0.8237828413708399,34.775,3.1582,25,20,20,0,0.24390243902439146,5,0,-9.3289318024268,0,70,B
301499.SZ,维科精密,汽车配件,20260702,28.95,34.219415418473254,3.2758300750541594,-1.4221410300895911,162815.38719,4.2117,16.012,1.01,400247.646,100061.9115,27.86,30.76,27.6,23.737219021250635,33.96791349434887,-0.7747372308679088,-1.2948075984433647,72.9486,3.0638,25,0,20,10,0.34493670886075944,5,5,-15.398905428491263,0,65,B
600483.SH,福能股份,新型电力,20260702,10.37,10.746500000000001,4.15980190112964,-0.1973716470642799,463444.84,2.9791,1.6362,1.26,2883012.0242,2883012.0242,10.09,10.51,9.9,13.147957011765053,17.64203456708276,0.0020272536706666053,-0.398797801469893,10.0976,1.0349,4,20,20,10,0.45901639344262235,10,0,-3.5034662448239127,0,64,C
301512.SZ,智信精密,专用机械,20260702,45.3,51.394333333333336,-5.539599240102561,-2.077496721036823,127789.19682,2.861,10.9577,0.98,241600.302,112404.702,43.99,49.04,43.6,12.142133582015665,20.982999993074777,-0.6723027903780086,-2.810387861317629,79.6011,2.2899,25,0,20,5,0.24080882352941096,5,0,-11.857986937600135,0,55,C
603916.SH,苏博特,化工原料,20260702,13.75,13.093006677350427,4.168201723802696,0.09254164353546201,254786.627,2.0787,4.3679,0.64,586159.475,577950.725,13.47,14.5,13.0,30.567522940229672,43.76718354844316,0.18719311941520494,-0.18930295175948586,46.2081,1.3756,12,20,20,0,0.18666666666666623,0,0,5.017894963622867,0,52,C
301233.SZ,盛帮股份,汽车配件,20260702,37.18,40.22399088781331,4.4759470251364775,-0.7679449952768991,47353.6977,0.378,3.189,0.69,266828.9624,146400.3398,36.98,38.31,36.53,30.345634069000393,43.28047759093235,-0.6000366014675771,-0.335816787618644,32.7776,2.6569,25,20,5,0,0.11235955056179928,0,0,-7.567600381332495,0,50,C
301218.SZ,华是科技,软件服务,20260702,41.39,37.73666666666667,4.329076474565284,1.0673765238836381,321698.71504,1.6953,11.2205,1.11,472011.56,290014.7632,40.29,42.35,39.01,27.78398887844288,39.51144508038168,1.5961047589438555,-1.0574564701204348,,5.2002,12,0,20,10,0.32934131736526956,5,0,9.681123575655848,0,47,D
000691.SZ,亚太实业,化工原料,20260702,11.67,9.058166666666667,-0.9741230109561343,0.8469059072308305,185373.50401,0.0,4.7967,0.69,565884.135,377256.09,11.520000000000001,12.3,11.41,35.29831649431687,53.43453624695337,0.9201228677171902,-0.14643392097271946,,12.4427,12,20,5,0,0.16853932584269493,0,5,28.8340171852288,0,42,D
300328.SZ,宜安科技,小金属,20260702,13.920000000000002,17.968166666666665,2.360057408949448,-1.247035427935625,814947.01365,0.1439,8.4275,1.02,961069.6512,956363.16,13.72,14.610000000000001,13.31,7.9269708653103805,10.710427593490847,-0.609048394606756,-1.2759740666577382,,9.3435,4,0,5,10,0.15384615384615458,0,5,-22.529658933855227,0,24,D
