ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,zhixing_mid_duokong,zhixing_duokong,shrink,amplitude,dist_to_mid,score_mid_dist,score_macd,body_ratio,score_body,score,score_level
688176.SH,亚虹医药,化学制药,20260727,12.83,11.857833333333334,-8.004501425423364,0.5175504835535314,169738.32,1.9873,2.3388,0.5,734122.5926,734122.5926,12.39,13.0,12.39,17.334727747416316,30.004342333836156,0.6553370949226799,-0.275573222738297,,5.0051,13.081996893825094,12.53107612781955,True,4.848966613672491,1.9262876751181657,8,30,0.7213114754098359,10,48,C
600329.SH,达仁堂,中成药,20260727,36.98,37.594372182805536,-7.968850288141937,0.17152712726703356,119694.812,1.0107,0.5719,0.72,2847809.0912,2097096.6012,36.6,37.25,36.47,25.23835414454416,41.84195636088721,0.3082641000543566,-0.2734739455746461,13.0599,3.7858,37.6977564993292,37.74564826238763,True,2.1305654192843515,1.9039766977697385,8,30,0.4871794871794806,5,43,C
600073.SH,光明肉业,食品,20260727,5.0,5.198333333333333,-6.042125533730996,0.006069966087432377,30239.155,1.0101,0.6446,0.64,468864.75,468864.75,4.95,5.05,4.91,28.864744945783677,46.31818018554101,0.0049020734999892755,0.0023357851748862027,,0.9992,5.0658686174214145,5.224331140350877,True,2.828282828282822,1.300243302696278,22,8,0.3571428571428567,5,35,C
