ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
300710.SZ,万隆光电,通信设备,20260622,34.92,33.62883333333333,-0.6200347695500525,0.16382912526324134,184917.62673,0.5471,7.1925,1.0,347420.1276,260433.36,34.07,35.22,33.5,12.25672226422665,18.695100781115,1.0484756930604529,-1.769293135594423,,8.0167,25,10,12,10,0.49418604651162906,10,5,3.8394631590946333,5,77,B
600348.SH,华阳股份,煤炭开采,20260622,8.36,9.375499999999999,4.832955958421145,-0.28893207066656323,326521.386,2.2005,1.0954,1.09,3015870.0,3015870.0,8.2,8.42,8.02,13.112187666650915,17.2518035207658,-0.17587688974069848,-0.2261103618517295,18.9713,1.0824,4,20,20,10,0.4,10,0,-10.831422324142707,0,64,C
301236.SZ,软通动力,软件服务,20260622,39.13,39.786624178311776,2.4827865585170343,-0.15741651769977238,1221761.25793,1.4782,4.0839,0.89,4050695.7309,3074480.4909,38.3,39.15,37.01,19.683357777653647,28.283643387221954,0.13662148869157273,-0.5880760127826903,751.368,3.0346,4,20,20,5,0.38785046728972206,5,5,-1.6503641408956427,0,59,C
600121.SH,郑州煤电,煤炭开采,20260622,4.14,4.457833333333334,-0.14514765656034356,-0.04806120003813508,274815.764,1.4706,5.5539,0.79,504422.568,504422.568,4.09,4.16,3.98,10.226975006315111,15.413036337752839,0.05493676898665914,-0.20599593804958843,,6.8547,12,10,20,0,0.27777777777777657,5,5,-7.1297715631659875,0,52,C
600985.SH,淮北矿业,煤炭开采,20260622,15.469999999999999,14.212711034943334,-2.198268533904127,0.44015278003126745,407885.142,3.271,0.9913,0.79,4166471.2089,4166471.2089,14.84,15.58,14.83,23.361099056885763,36.14078285228071,0.595853051765461,-0.3114005434683871,31.9159,0.9919,4,10,20,0,0.8399999999999986,10,0,8.846228998573864,0,44,D
601088.SH,中国神华,煤炭开采,20260622,41.51,46.38466666666667,-8.189602324739749,-1.1288632583435145,2949085.393,0.6059,0.4339,1.01,90032841.7793,68454298.738,41.2,41.78,40.8,7.538675900020075,15.402815012399987,-0.30615272022164214,-1.645421076243745,17.4594,1.8722,4,0,12,10,0.3163265306122387,5,0,-10.50922000086236,0,31,D
600398.SH,海澜之家,服饰,20260622,5.62,5.9652786037684695,4.248967741286151,-0.06712489950770006,148650.094,0.3571,0.5566,0.85,2699156.9086,2699156.9086,5.59,5.640000000000001,5.49,26.032374466303796,36.92407782881262,-0.05537435698233106,-0.023501085050738002,12.3809,1.4015,4,10,5,5,0.20000000000000118,5,0,-5.788138772769895,0,29,D
603043.SH,广州酒家,食品,20260622,13.26,14.533013285969453,4.99263737143864,-0.2557697365250142,30467.428,0.2268,0.414,0.76,752196.5724,745811.8824,13.2,13.3,12.889999999999999,17.330563784102843,23.499526990434944,-0.18350474827621205,-0.14452997649760435,15.3596,1.8843,4,0,5,0,0.14634146341463466,0,0,-8.759458626508332,0,9,D
