ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
603520.SH,司太立,化学制药,20260710,9.64,10.67870972378052,-2.8911660065181337,-0.1605477336066734,181832.29,2.0106,4.301,1.08,422627.1436,422627.1436,9.39,9.88,9.23,21.663804011209585,33.94128902007345,-0.11737191042456993,-0.08635164636420695,250.9997,1.6412,12,20,20,10,0.3846153846153844,5,0,-9.726921609896433,0,67,B
301168.SZ,通灵股份,电气设备,20260710,40.14,43.4175280243261,3.270330138406912,-0.7787211881866583,68587.80976,0.8543,1.7921,1.02,481680.0,382587.5862,39.81,40.57,39.6,16.288740615561995,22.797945854139538,-0.1624314355470477,-1.232579505279221,657.8567,2.2657,12,20,12,10,0.34020618556700893,5,5,-7.548859120882605,0,64,C
688314.SH,康拓医疗,医疗保健,20260710,31.93,40.81219165612025,4.655325663854434,-2.2554991617388254,25605.058,1.1083,0.9801,0.76,259396.7656,259396.7656,31.58,32.73,31.08,14.252035929017696,19.050391061599328,-1.9004377810608688,-0.7101227613559131,29.5392,3.5283,25,10,20,0,0.21212121212121315,5,0,-21.76357430387658,0,60,C
688055.SH,龙腾光电,元器件,20260710,4.67,4.843500000000001,3.7792525347289967,-0.07937551804073895,206988.816,3.0905,1.2759,1.49,1556666.6978,1556666.6978,4.56,5.25,4.5,19.078681950507402,26.728396658396605,0.043187871095505,-0.2451267782724879,,3.8834,4,20,20,10,0.14666666666666708,0,5,-3.5821203675028523,0,59,C
300052.SZ,中青宝,互联网,20260710,11.3,13.0355,1.025441308900092,-0.36347967886167787,172053.629,0.0886,5.7522,0.84,295900.331,295891.856,11.21,11.65,11.11,15.007849331876692,21.99905334336499,-0.16277322776719982,-0.4014129021889561,,8.5895,25,10,5,5,0.16666666666666613,0,10,-13.313643511948142,0,55,C
300012.SZ,华测检测,电器仪表,20260710,13.53,14.97880661476275,1.7989282759802663,-0.24216725800081917,594203.23969,0.3709,3.0568,1.22,2276866.6899,1936470.6966,13.419999999999998,13.79,13.32,21.64249153140701,31.56427315912038,-0.2070317007732531,-0.07027111445513212,21.5095,2.8858,4,20,5,10,0.2340425531914925,5,10,-9.672376792252873,0,54,C
688193.SH,仁度生物,医疗保健,20260710,48.54,52.66463888888889,-0.6392182341823514,-0.8124024299724795,15249.157,0.6845,0.7812,0.58,194499.2946,194499.2946,48.3,49.47,47.69,15.99835676101102,24.317144258607705,-0.17848775265533504,-1.267829354634289,140.3126,2.1174,25,10,12,0,0.13483146067415833,0,5,-7.831894371460504,0,52,C
301007.SZ,德迈仕,汽车配件,20260710,30.8,35.67946046578493,4.061244427475074,-0.9508527768064994,110010.5198,1.083,2.3254,0.63,472287.2,466081.308,30.4,32.2,30.1,28.00670416926207,39.97943404015557,-0.8594231941750169,-0.18285916526296497,95.0762,7.1763,12,20,20,0,0.19047619047619135,0,0,-13.675824696015571,0,52,C
301555.SZ,惠柏新材,化工原料,20260710,37.73,40.19983333333334,-10.686667962134337,-0.33547631240853804,160655.22447,0.6402,8.6224,0.92,348122.6364,182404.9304,37.55,40.1,37.31,22.07571805051563,38.45691105684061,0.6326785064746435,-1.9363096377663631,44.8562,3.0806,25,0,12,5,0.06451612903225798,0,0,-6.143889485445646,0,42,D
300234.SZ,开尔新材,陶瓷,20260710,9.86,8.6675,-0.26361276492092145,0.2392779409423067,125072.68204,0.1015,3.667,0.68,496126.606,339171.182,9.85,10.1,9.73,19.33693278817262,29.137205564719395,0.5488131352860729,-0.6190703886875324,,4.3938,12,20,5,0,0.027027027027026508,0,5,13.758292471877692,0,42,D
300127.SZ,银河磁体,矿物制品,20260710,25.610000000000003,29.440893363894347,4.101675487165352,-0.7470395297104275,159011.37715,0.8665,2.6462,0.85,827577.6743,591120.0321,25.4,26.619999999999997,25.259999999999998,22.08063208799176,31.070110388404963,-0.4293054218566169,-0.6354682157076212,43.0844,5.2765,4,20,12,5,0.15441176470588566,0,0,-13.012150536819188,0,41,D
300005.SZ,探路者,服饰,20260710,21.0,17.11657904524372,-5.427740285962528,1.4113071182475352,724409.95783,0.9615,3.8542,0.83,1855774.5906,1840753.6056,21.0,22.140000000000004,20.83,24.585094693825226,39.591512183719104,1.6766249462496692,-0.530635656004268,215.5104,8.5731,4,20,12,5,0.0,0,0,22.68806719199761,0,41,D
300748.SZ,金力永磁,矿物制品,20260710,28.69,32.461196775249036,3.109222586647391,-0.5947291952124942,1024274.09191,0.3849,3.1091,0.62,3946565.7017,3242060.9473,28.8,29.74,28.35,25.445889405663767,36.614222815171956,-0.3002280399598045,-0.5890023105053794,53.487,5.1789,4,20,5,0,0.07913669064748177,0,5,-11.617553109207886,0,34,D
301177.SZ,迪阿股份,服饰,20260710,22.33,27.35485640569395,-9.858908756500206,-0.967357108975996,40396.96186,0.0448,0.4498,0.38,893812.9585,893220.7669,22.31,22.84,21.85,11.45648346623459,22.114179577601988,-0.32971659844920465,-1.2752810210535828,57.3069,1.4196,4,0,5,0,0.020202020202019805,0,0,-18.369156581088912,0,9,D
