ts_code,name,industry_name,trade_date,close_qfq,ma_qfq_60,kdj_qfq,macd_dif_qfq,amount,pct_chg,turnover_rate,volume_ratio,total_mv,circ_mv,open_qfq,high_qfq,low_qfq,kdj_k_qfq,kdj_d_qfq,macd_dea_qfq,macd_qfq,pe_ttm,pb,score_mv,score_turnover,score_pct,score_vr,body_ratio,score_body,score_j,close_vs_ma60,score_ma60,score,score_level
603178.SH,圣龙股份,汽车配件,20260603,17.26,17.637,1.102714376222277,-0.2742864723979146,145242.619,0.5242,3.5451,0.94,408046.9066,408046.9066,17.25,17.59,17.07,7.54488822627585,10.765975151302635,0.23595583427747896,-1.0204846133507872,,3.5647,25,20,12,5,0.019230769230772254,0,10,-2.1375517378238866,0,72,B
688419.SH,耐科装备,半导体,20260603,48.92000000000001,47.568333333333335,-11.735679535809268,1.3612041504588106,186646.061,1.9379,3.3151,0.87,560386.7647,560386.7647,48.07,50.7,47.5,19.779454253228,35.537021147746636,2.247504217277129,-1.7726001336366366,77.9897,5.3255,12,20,20,5,0.26562500000000244,5,0,2.8415262254300977,5,67,B
600480.SH,凌云股份,汽车配件,20260603,11.01,10.784333333333333,1.0533016197289484,0.04179560923077297,247626.444,1.4747,1.8486,0.76,1345672.2914,1335397.6328,10.84,11.23,10.76,15.589006241432454,22.856858552284205,0.1639330237229036,-0.24427482898426128,17.4013,1.631,4,20,20,0,0.3617021276595738,5,10,2.0925416499242773,5,64,C
300190.SZ,维尔利,环境保护,20260603,4.12,4.277166666666667,3.843522663552477,-0.020565532485202098,85197.96894,0.2433,2.1892,0.93,390612.6886,389027.5565,4.1,4.21,4.04,16.140849455914903,22.289512852096117,0.02423217741206089,-0.08959541979452598,,1.2563,25,20,5,5,0.11764705882353217,0,5,-3.6745509098702467,0,60,C
301331.SZ,恩威医药,中成药,20260603,24.54,26.042453664302606,2.8414196536535457,-0.2844993212083473,62662.06056,0.4092,2.4957,0.82,252496.6907,251871.7133,24.44,25.16,23.78,20.927674509371116,29.9708019372299,-0.04010789177035409,-0.48878285887598644,52.4455,2.4829,25,20,5,5,0.07246376811594053,0,5,-5.76924772016424,0,60,C
301596.SZ,瑞迪智驱,机械基件,20260603,73.61,71.98366666666668,-11.522186280348201,1.11018012570905,159478.92876,1.8119,6.8432,0.98,568013.7733,230521.5883,71.81,76.43,71.56,14.86995002832691,28.066018182664465,2.6718924885119226,-3.1234247256057452,55.8668,6.3474,12,10,20,5,0.36960985626283277,5,0,2.259308824687064,5,57,C
688418.SH,震有科技,通信设备,20260603,45.95,45.447,3.3960686240262774,-0.07370322070276103,265816.293,3.491,3.0011,0.77,884788.5432,884788.5432,44.81,47.9,43.83,18.834678183516992,26.55398296326235,0.8591197153922251,-1.8656458721899722,,10.8322,4,20,20,0,0.2800982800982802,5,5,1.1067837260985325,3,57,C
300247.SZ,融捷健康,医疗保健,20260603,4.18,4.568666666666667,-0.44200612114710935,-0.09329165518380389,57562.7197,0.0,1.7174,0.69,336088.8508,335662.4908,4.17,4.22,4.13,10.335708548629006,15.724565883517062,-0.03505580796157934,-0.1164716944444491,49.7509,2.9053,25,20,5,0,0.11111111111110891,0,5,-8.507223113964702,0,55,C
300698.SZ,万马科技,通信设备,20260603,34.53,36.87383333333334,-0.2722164905055706,-0.7537083727152805,129816.666,0.9944,3.1132,0.97,462702.0,409339.1412,34.06,36.3,33.68,13.466895914873856,20.336452117563567,-0.1763157194436459,-1.1547853065432692,96.2063,8.6446,12,20,12,5,0.17938931297709898,0,5,-6.356359297243309,0,54,C
600699.SH,均胜电子,汽车配件,20260603,26.93,26.996906610935167,-2.2191918713633214,-0.20875321927537982,1171355.832,2.2011,3.218,0.69,4176225.1262,3649159.4633,26.31,27.29,26.12,17.264091724843478,27.005733522946876,0.3613519197344656,-1.140210278019691,29.8844,2.4211,4,20,20,0,0.5299145299145316,10,0,-0.2478306566725912,0,54,C
688323.SH,瑞华泰,塑料,20260603,30.6,25.457666666666668,-7.711082667316063,1.6602714005597932,411722.435,1.3581,7.4567,0.68,550805.4346,550805.4346,29.6,31.7,29.36,18.587965128388205,31.73748902624034,2.731795239231673,-2.14304767734376,,7.6972,12,10,20,0,0.4273504273504274,10,0,20.199546960313196,0,52,C
300801.SZ,泰和科技,化工原料,20260603,26.28,28.00284813652015,4.826526656676279,-0.609377307066886,126106.2397,0.5356,3.489,0.85,574034.04,359719.1289,26.14,26.97,25.71,12.905220649461189,16.944567645853645,-0.14754160231446686,-0.9236714095048382,43.3405,2.2383,12,20,12,5,0.11111111111111174,0,0,-6.1524032417019825,0,49,D
